Language,Publisher,Publish_Date,Price1,Price2,Year,Change_in_Price
Other,Chronicle Books,"December 07, 2021",19.95,18.55,2021,1.3999999999999986
English,Milkweed Editions,"April 02, 2024",25.0,23.25,2024,1.75
English,Timber Press (OR),"October 25, 2022",30.0,27.9,2022,2.1000000000000014
English,Hay House,"May 25, 2021",22.99,21.38,2021,1.6099999999999994
English,Red Wheel,"August 01, 2021",16.95,15.76,2021,1.1899999999999995
English,Catapult,"March 12, 2024",27.0,25.11,2024,1.8900000000000006
English,Chronicle Books,"March 14, 2017",7.99,7.43,2017,0.5600000000000005
English,Spiegel & Grau,"October 24, 2023",32.0,29.76,2023,2.2399999999999984
English,Avid Reader Press / Simon & Schuster,"March 12, 2024",30.0,27.9,2024,2.1000000000000014
English,Harper Perennial,"May 30, 2017",18.99,17.66,2017,1.3299999999999983
English,Thames & Hudson,"May 07, 2024",24.95,23.2,2024,1.75
English,North Atlantic Books,"January 09, 2024",19.95,18.55,2024,1.3999999999999986
English,Prospecta Press,"March 19, 2024",24.99,23.24,2024,1.75
English,Tarcherperigee,"November 01, 2022",20.0,18.6,2022,1.3999999999999986
English,Thames & Hudson,"April 02, 2024",14.95,13.9,2024,1.049999999999999
English,Inner Traditions International,"November 01, 2022",19.99,18.59,2022,1.3999999999999986
English,Thames & Hudson,"May 07, 2024",24.95,23.2,2024,1.75
English,Frances Lincoln Ltd,"May 03, 2022",24.99,23.24,2022,1.75
English,Heyday Books,"March 01, 2016",35.0,32.55,2016,2.450000000000003
English,Chelsea Green Publishing Company,"February 21, 2023",28.0,26.04,2023,1.9600000000000009
English,Mountaineers Books,"September 11, 2023",21.95,20.41,2023,1.5399999999999991
English,Lee & Low Books,"September 20, 2022",20.95,19.48,2022,1.4699999999999989
English,Artisan Publishers,"July 11, 2023",20.0,18.6,2023,1.3999999999999986
English,Mountaineers Books,"February 13, 2023",29.95,27.85,2023,2.099999999999998
Other,Chronicle Books,"December 07, 2021",19.95,18.55,2021,1.3999999999999986
English,Milkweed Editions,"April 02, 2024",25.0,23.25,2024,1.75
English,Timber Press (OR),"October 25, 2022",30.0,27.9,2022,2.1000000000000014
English,Hay House,"May 25, 2021",22.99,21.38,2021,1.6099999999999994
English,Red Wheel,"August 01, 2021",16.95,15.76,2021,1.1899999999999995
English,Catapult,"March 12, 2024",27.0,25.11,2024,1.8900000000000006
English,Chronicle Books,"March 14, 2017",7.99,7.43,2017,0.5600000000000005
English,Spiegel & Grau,"October 24, 2023",32.0,29.76,2023,2.2399999999999984
English,Avid Reader Press / Simon & Schuster,"March 12, 2024",30.0,27.9,2024,2.1000000000000014
English,Harper Perennial,"May 30, 2017",18.99,17.66,2017,1.3299999999999983
English,Thames & Hudson,"May 07, 2024",24.95,23.2,2024,1.75
English,North Atlantic Books,"January 09, 2024",19.95,18.55,2024,1.3999999999999986
English,Prospecta Press,"March 19, 2024",24.99,23.24,2024,1.75
English,Tarcherperigee,"November 01, 2022",20.0,18.6,2022,1.3999999999999986
English,Thames & Hudson,"April 02, 2024",14.95,13.9,2024,1.049999999999999
English,Inner Traditions International,"November 01, 2022",19.99,18.59,2022,1.3999999999999986
English,Thames & Hudson,"May 07, 2024",24.95,23.2,2024,1.75
English,Frances Lincoln Ltd,"May 03, 2022",24.99,23.24,2022,1.75
English,Heyday Books,"March 01, 2016",35.0,32.55,2016,2.450000000000003
English,Chelsea Green Publishing Company,"February 21, 2023",28.0,26.04,2023,1.9600000000000009
English,Mountaineers Books,"September 11, 2023",21.95,20.41,2023,1.5399999999999991
